,,,,,,,,,,,,,,,
,,,,,"Demande de données 
N° 1506",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stations : ,Rhône-Alpes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Conditions d'utilisation des informations :,,,,,,,,,,,,,,,
"Le présent diagnostic a été établi sur la base des informations fournies à AIR RHONE-ALPES, des données (scientifiques ou techniques) disponibles et objectives, et de la réglementation en vigueur.",,,,,,,,,,,,,,,
La responsabilité de AIR RHONE-ALPES ne pourra être engagée si les informations qui lui ont été communiquées sont incomplètes ou erronées. ,,,,,,,,,,,,,,,
"Les avis, recommandations, préconisations ou équivalent qui seraient portés par AIR RHONE-ALPES dans le cadre des travaux réalisés, peuvent aider à la prise de décision. Au regard de ses statuts, AIR RHONE-ALPES n'a pas vocation à se substituer aux décideurs. La responsabilité de AIR RHONE-ALPES ne peut donc se substituer à celle du décideur.",,,,,,,,,,,,,,,
Le destinataire utilisera les résultats inclus dans le présent diagnostic intégralement ou sinon de manière objective. Son utilisation sous forme d'extraits ou de notes de synthèse sera faite sous la seule et entière responsabilité du destinataire. Il en est de même pour toute modification qui y serait apportée. ,,,,,,,,,,,,,,,
L'association AIR RHONE-ALPES dégage toute responsabilité pour chaque utilisation du diagnostic en dehors de la destination des travaux réalisés par elle.,,,,,,,,,,,,,,,
Toute utilisation de ces informations doit faire référence à AIR RHONE-ALPES qui en conserve la propriété intellectuelle. ,,,,,,,,,,,,,,,
Les données ne seront pas rediffusées en cas de modification ultérieure.,,,,,,,,,,,,,,,
"En cas d'insatisfaction sur les informations ou leurs conditions d'utilisation, prenez contact avec AIR RHONE-ALPES (09 72 26 48 90 - demandes@air-rhonealpes.fr).",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Indicatif,Nom,ADRESSE,CODE_INSEE,CODE_POSTAL,Coord_long,Coord_lat,CoordX_L93,CoordY_L93,CoordX_LII,CoordY_LII,CoordX_UTM31,CoordY_UTM31,Coord_long_DGS,Coord_lat_DGS,ALTITUDE
15001,Charavines,Le bourg,38082,38850,"5,51796","45,4276",896866,6484049,848945,2052501,696971,5033539,"5°31'4,66""","45°25'39,36""",491
15002,Voiron,54 Boulevard Denfert-Rochereau,38563,38500,"5,59439","45,3601",903086,6476746,855233,2045245,703192,5026226,"5°35'39,80""","45°21'36,36""",278
15003,Voreppe,Stade Bourg Vieux,38565,38340,"5,64567","45,2859",907374,6468648,859595,2037177,707479,5018119,"5°38'44,41""","45°17'9,24""",192
15004,CENG,Pylone CENG (Centre d'Etude Nucléaire de Grenoble),38185,38000,"5,68312","45,2113",910591,6460462,862885,2029010,710692,5009923,"5°40'59,23""","45°12'40,68""",215
15005,Fontaine,89 mail Marcel Cachin,38169,38600,"5,689","45,1918",911126,6458316,863439,2026867,711226,5007775,"5°41'20,40""","45°11'30,48""",210
15006,Grenoble Foch,46 Boulevard Maréchal Foch,38185,38000,"5,72139","45,1808",913709,6457182,866035,2025754,713811,5006638,"5°43'17,00""","45°10'50,88""",214
